City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Ortona,IT,79.86,overcast clouds,42.3496,14.4039,La Casa del Palombaro
605,Lorengau,PG,80.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
606,Vila Franca Do Campo,PT,73.81,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
609,El Alto,PE,71.26,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
611,Sinnar,SD,76.12,overcast clouds,13.5691,33.5672,بساتين سالمة
612,Gramsh,AL,80.11,broken clouds,40.8697,20.1844,Hotel Tomorri
614,Micomeseng,GQ,68.25,broken clouds,2.1462,10.6164,
615,Derzhavinsk,KZ,65.17,clear sky,51.1,66.3167,Ooo.khim Baza
617,Kamina,CD,68.83,clear sky,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
620,Tucuma,BR,84.51,scattered clouds,-0.1833,-50.05,
623,Kloulklubed,PW,81.88,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
625,Qostanay,KZ,68.29,clear sky,53.1667,63.5833,Hotel Fessla
627,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
629,Minyar,RU,68.68,overcast clouds,55.0709,57.5485,Semigor'ye
631,Smidovich,RU,66.74,overcast clouds,48.6,133.8167,Gostinnitsa
632,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
634,Sirjan,IR,82.26,clear sky,29.452,55.6814,MAPNA Building
636,Pathein,MM,76.32,overcast clouds,16.7833,94.7333,Pathein Hotel
638,Culasi,PH,74.21,overcast clouds,11.4272,122.056,LS Suites
640,Kitimat,CA,71.98,broken clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
