City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Terrace Bay,CA,48.7834,-87.1,61.77,50,100,2.53,overcast clouds
198,Klaksvik,FO,62.2266,-6.589,52.72,88,97,15.35,overcast clouds
199,Sur,OM,22.5667,59.5289,86.85,64,34,9.93,scattered clouds
200,Keti Bandar,PK,24.1447,67.4497,81.48,80,100,6.2,overcast clouds
201,Gamba,GA,-2.65,10.0,68.79,82,50,8.3,scattered clouds
202,Alta Floresta,BR,-9.8756,-56.0861,93.7,35,29,7.94,scattered clouds
203,Shambu,ET,9.5667,37.1,51.64,94,100,1.45,light rain
204,Lata,PT,40.1629,-8.3327,73.65,57,0,5.82,clear sky
205,Osorno,CL,-40.5667,-73.15,47.25,94,100,0.69,overcast clouds
206,Tawau,MY,4.2498,117.8871,77.25,80,100,2.28,overcast clouds
207,Windhoek,NA,-22.5594,17.0832,64.11,29,22,7.85,few clouds
208,Bethel,US,41.3712,-73.414,95.36,59,95,3.0,overcast clouds
209,Kapaa,US,22.0752,-159.319,78.19,95,25,12.66,scattered clouds
210,Alappuzha,IN,9.49,76.3264,77.0,87,100,17.27,overcast clouds
211,Shimoda,JP,34.6667,138.95,77.11,89,49,7.87,light rain
212,Kruisfontein,ZA,-34.0033,24.7314,59.88,95,49,5.14,scattered clouds
213,Nador,MA,35.174,-2.9287,82.65,69,20,8.05,few clouds
214,Alofi,NU,-19.0595,-169.9187,76.55,76,16,21.9,few clouds
215,Komsomolskiy,UZ,40.4272,71.7189,84.87,20,0,11.81,clear sky
216,Inhambane,MZ,-23.865,35.3833,69.78,82,0,10.29,clear sky
217,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.09,65,100,2.55,overcast clouds
218,Pusztaszabolcs,HU,47.1372,18.767,81.68,33,95,14.45,overcast clouds
219,Clyde River,CA,70.4692,-68.5914,41.56,84,99,2.84,overcast clouds
220,Carroll,US,39.5501,-77.0164,91.72,62,40,9.22,scattered clouds
221,Saltabarranca,MX,18.6,-95.5333,85.95,63,51,9.98,broken clouds
222,Araouane,ML,18.9048,-3.5265,105.22,14,36,1.36,scattered clouds
223,Nouadhibou,MR,20.931,-17.0347,71.56,90,5,22.21,clear sky
224,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,90.5,24,100,8.99,overcast clouds
225,Sobolevo,RU,54.4299,31.8996,55.09,96,27,6.22,scattered clouds
